"mcp_code","week_num","cumul_week"
11009,"1",35
11009,"10",3419
11009,"11",3907
11009,"12",4598
11009,"13",5731
11009,"14",6925
11009,"15",7927
11009,"16",9597
11009,"17",10613
11009,"18",12843
11009,"19",14211
11009,"2",334
11009,"20",16903
11009,"21",18838
11009,"22",21850
11009,"23",24737
11009,"24",27471
11009,"25",30340
11009,"26",32454
11009,"27",34663
11009,"28",37670
11009,"29",39965
11009,"3",797
11009,"30",42125
11009,"31",44734
11009,"32",46021
11009,"33",46729
11009,"34",47573
11009,"35",47818
11009,"36",48045
11009,"37",48204
11009,"38",48641
11009,"39",49077
11009,"4",970
11009,"40",49554
11009,"41",50052
11009,"42",50119
11009,"43",50345
11009,"44",50529
11009,"45",50796
11009,"46",51686
11009,"47",54125
11009,"48",55816
11009,"49",57957
11009,"5",1315
11009,"50",60526
11009,"51",61811
11009,"52",64222
11009,"6",1768
11009,"7",2020
11009,"8",2271
11009,"9",2770
11013,"1",177
11013,"10",2596
11013,"11",3163
11013,"12",3826
11013,"13",4532
11013,"14",5675
11013,"15",7161
11013,"16",8030
11013,"17",8773
11013,"18",10136
11013,"19",11681
11013,"2",275
11013,"20",13386
11013,"21",14621
11013,"22",16600
11013,"23",18376
11013,"24",20797
11013,"25",22691
11013,"26",23502
11013,"27",25892
11013,"28",26948
11013,"29",28784
11013,"3",542
11013,"30",31078
11013,"31",31930
11013,"32",32871
11013,"33",33302
11013,"34",33887
11013,"35",34380
11013,"36",34467
11013,"37",34492
11013,"38",34995
11013,"39",35413
11013,"4",782
11013,"40",35910
11013,"41",36539
11013,"42",36563
11013,"43",36616
11013,"44",36918
11013,"45",36945
11013,"46",37806
11013,"47",39090
11013,"48",40379
11013,"49",42502
11013,"5",936
11013,"50",44344
11013,"51",45915
11013,"52",46919
11013,"6",1170
11013,"7",1485
11013,"8",1726
11013,"9",2167
11016,"1",10
11016,"10",1896
11016,"11",2149
11016,"12",2470
11016,"13",2935
11016,"14",3644
11016,"15",4365
11016,"16",4889
11016,"17",5577
11016,"18",7115
11016,"19",7950
11016,"2",145
11016,"20",9095
11016,"21",10064
11016,"22",11702
11016,"23",13198
11016,"24",14816
11016,"25",16984
11016,"26",18986
11016,"27",20740
11016,"28",21463
11016,"29",23285
11016,"3",355
11016,"30",24811
11016,"31",26864
11016,"32",27704
11016,"33",27980
11016,"34",28438
11016,"35",28742
11016,"36",28862
11016,"37",29002
11016,"38",29092
11016,"39",29451
11016,"4",478
11016,"40",29814
11016,"41",29834
11016,"42",30107
11016,"43",30375
11016,"44",30376
11016,"45",30607
11016,"46",31214
11016,"47",32272
11016,"48",33476
11016,"49",34583
11016,"5",754
11016,"50",35871
11016,"51",37115
11016,"52",37175
11016,"6",956
11016,"7",1115
11016,"8",1329
11016,"9",1617
11018,"1",15
11018,"10",1269
11018,"11",1475
11018,"12",1629
11018,"13",1983
11018,"14",2415
11018,"15",3116
11018,"16",3436
11018,"17",3633
11018,"18",4153
11018,"19",4801
11018,"2",45
11018,"20",5524
11018,"21",6016
11018,"22",6749
11018,"23",7931
11018,"24",9345
11018,"25",10306
11018,"26",10990
11018,"27",12053
11018,"28",12961
11018,"29",14306
11018,"3",320
11018,"30",14939
11018,"31",15805
11018,"32",16369
11018,"33",16829
11018,"34",17193
11018,"35",17682
11018,"36",17830
11018,"37",17987
11018,"38",18104
11018,"39",18413
11018,"4",374
11018,"40",18469
11018,"41",18742
11018,"42",18762
11018,"43",18831
11018,"44",18882
11018,"45",18890
11018,"46",19252
11018,"47",19774
11018,"48",20345
11018,"49",20899
11018,"5",437
11018,"50",21504
11018,"51",21934
11018,"52",21971
11018,"6",706
11018,"7",862
11018,"8",930
11018,"9",1034
11021,"1",25
11021,"10",1173
11021,"11",1441
11021,"12",1644
11021,"13",1887
11021,"14",2314
11021,"15",2877
11021,"16",3201
11021,"17",3546
11021,"18",4016
11021,"19",4584
11021,"2",44
11021,"20",5310
11021,"21",5771
11021,"22",6640
11021,"23",7363
11021,"24",8263
11021,"25",8935
11021,"26",9225
11021,"27",10191
11021,"28",10623
11021,"29",11345
11021,"3",239
11021,"30",12219
11021,"31",12549
11021,"32",12925
11021,"33",13102
11021,"34",13367
11021,"35",13549
11021,"36",13579
11021,"37",13588
11021,"38",13811
11021,"39",14023
11021,"4",294
11021,"40",14212
11021,"41",14407
11021,"42",14427
11021,"43",14458
11021,"44",14574
11021,"45",14587
11021,"46",14907
11021,"47",15413
11021,"48",15880
11021,"49",16765
11021,"5",352
11021,"50",17533
11021,"51",18231
11021,"52",18625
11021,"6",549
11021,"7",680
11021,"8",803
11021,"9",969
11022,"1",5
11022,"10",2154
11022,"11",2484
11022,"12",2874
11022,"13",3561
11022,"14",4426
11022,"15",5239
11022,"16",5795
11022,"17",6537
11022,"18",8180
11022,"19",9174
11022,"2",56
11022,"20",10320
11022,"21",11354
11022,"22",12970
11022,"23",14515
11022,"24",16108
11022,"25",18391
11022,"26",20283
11022,"27",22007
11022,"28",22827
11022,"29",24626
11022,"3",608
11022,"30",26176
11022,"31",28073
11022,"32",28901
11022,"33",29186
11022,"34",29624
11022,"35",29934
11022,"36",30052
11022,"37",30177
11022,"38",30250
11022,"39",30604
11022,"4",666
11022,"40",31174
11022,"41",31194
11022,"42",31600
11022,"43",31820
11022,"44",31822
11022,"45",32110
11022,"46",32772
11022,"47",33896
11022,"48",35126
11022,"49",36276
11022,"5",832
11022,"50",37713
11022,"51",38983
11022,"52",39048
11022,"6",1269
11022,"7",1390
11022,"8",1567
11022,"9",1840
11023,"1",25
11023,"10",2973
11023,"11",3435
11023,"12",4106
11023,"13",5186
11023,"14",6531
11023,"15",7738
11023,"16",8549
11023,"17",9505
11023,"18",11976
11023,"19",13402
11023,"2",406
11023,"20",15029
11023,"21",16558
11023,"22",18950
11023,"23",21263
11023,"24",23854
11023,"25",26875
11023,"26",29476
11023,"27",31980
11023,"28",33397
11023,"29",36150
11023,"3",647
11023,"30",38297
11023,"31",40868
11023,"32",42077
11023,"33",42569
11023,"34",43311
11023,"35",43805
11023,"36",43987
11023,"37",44214
