"","mcp_code","mcp_name","province","region","week_num","cases_per_week"
"1",11001,"Aartselaar","Antwerpen","Flanders",1,11
"2",11001,"Aartselaar","Antwerpen","Flanders",2,11
"3",11001,"Aartselaar","Antwerpen","Flanders",3,22
"4",11001,"Aartselaar","Antwerpen","Flanders",4,21
"5",11001,"Aartselaar","Antwerpen","Flanders",5,19
"6",11001,"Aartselaar","Antwerpen","Flanders",6,12
"7",11001,"Aartselaar","Antwerpen","Flanders",7,16
"8",11001,"Aartselaar","Antwerpen","Flanders",8,19
"9",11001,"Aartselaar","Antwerpen","Flanders",9,20
"10",11001,"Aartselaar","Antwerpen","Flanders",10,27
"11",11001,"Aartselaar","Antwerpen","Flanders",11,24
"12",11001,"Aartselaar","Antwerpen","Flanders",12,31
"13",11001,"Aartselaar","Antwerpen","Flanders",13,24
"14",11001,"Aartselaar","Antwerpen","Flanders",14,14
"15",11001,"Aartselaar","Antwerpen","Flanders",15,29
"16",11001,"Aartselaar","Antwerpen","Flanders",16,17
"17",11001,"Aartselaar","Antwerpen","Flanders",17,15
"18",11001,"Aartselaar","Antwerpen","Flanders",18,17
"19",11001,"Aartselaar","Antwerpen","Flanders",19,6
"20",11001,"Aartselaar","Antwerpen","Flanders",20,17
"21",11001,"Aartselaar","Antwerpen","Flanders",21,24
"22",11001,"Aartselaar","Antwerpen","Flanders",22,7
"23",11001,"Aartselaar","Antwerpen","Flanders",23,12
"24",11001,"Aartselaar","Antwerpen","Flanders",24,7
"25",11001,"Aartselaar","Antwerpen","Flanders",25,0
"26",11001,"Aartselaar","Antwerpen","Flanders",26,5
"27",11001,"Aartselaar","Antwerpen","Flanders",27,6
"28",11001,"Aartselaar","Antwerpen","Flanders",28,28
"29",11001,"Aartselaar","Antwerpen","Flanders",29,18
"30",11001,"Aartselaar","Antwerpen","Flanders",30,24
"31",11001,"Aartselaar","Antwerpen","Flanders",31,21
"32",11001,"Aartselaar","Antwerpen","Flanders",32,17
"33",11001,"Aartselaar","Antwerpen","Flanders",33,18
"34",11001,"Aartselaar","Antwerpen","Flanders",34,14
"35",11001,"Aartselaar","Antwerpen","Flanders",35,14
"36",11001,"Aartselaar","Antwerpen","Flanders",36,16
"37",11001,"Aartselaar","Antwerpen","Flanders",37,10
"38",11001,"Aartselaar","Antwerpen","Flanders",38,10
"39",11001,"Aartselaar","Antwerpen","Flanders",39,11
"40",11001,"Aartselaar","Antwerpen","Flanders",40,21
"41",11001,"Aartselaar","Antwerpen","Flanders",41,11
"42",11001,"Aartselaar","Antwerpen","Flanders",42,36
"43",11001,"Aartselaar","Antwerpen","Flanders",43,67
"44",11001,"Aartselaar","Antwerpen","Flanders",44,91
"45",11001,"Aartselaar","Antwerpen","Flanders",45,122
"46",11001,"Aartselaar","Antwerpen","Flanders",46,145
"47",11001,"Aartselaar","Antwerpen","Flanders",47,205
"48",11001,"Aartselaar","Antwerpen","Flanders",48,154
"49",11001,"Aartselaar","Antwerpen","Flanders",49,106
"50",11001,"Aartselaar","Antwerpen","Flanders",50,67
"51",11001,"Aartselaar","Antwerpen","Flanders",51,37
"52",11001,"Aartselaar","Antwerpen","Flanders",52,47
"53",11002,"Antwerpen","Antwerpen","Flanders",1,604
"54",11002,"Antwerpen","Antwerpen","Flanders",2,634
"55",11002,"Antwerpen","Antwerpen","Flanders",3,764
"56",11002,"Antwerpen","Antwerpen","Flanders",4,843
"57",11002,"Antwerpen","Antwerpen","Flanders",5,771
"58",11002,"Antwerpen","Antwerpen","Flanders",6,751
"59",11002,"Antwerpen","Antwerpen","Flanders",7,792
"60",11002,"Antwerpen","Antwerpen","Flanders",8,1015
"61",11002,"Antwerpen","Antwerpen","Flanders",9,926
"62",11002,"Antwerpen","Antwerpen","Flanders",10,1000
"63",11002,"Antwerpen","Antwerpen","Flanders",11,1531
"64",11002,"Antwerpen","Antwerpen","Flanders",12,1587
"65",11002,"Antwerpen","Antwerpen","Flanders",13,1462
"66",11002,"Antwerpen","Antwerpen","Flanders",14,1268
"67",11002,"Antwerpen","Antwerpen","Flanders",15,1264
"68",11002,"Antwerpen","Antwerpen","Flanders",16,1228
"69",11002,"Antwerpen","Antwerpen","Flanders",17,1107
"70",11002,"Antwerpen","Antwerpen","Flanders",18,1140
"71",11002,"Antwerpen","Antwerpen","Flanders",19,956
"72",11002,"Antwerpen","Antwerpen","Flanders",20,1030
"73",11002,"Antwerpen","Antwerpen","Flanders",21,750
"74",11002,"Antwerpen","Antwerpen","Flanders",22,722
"75",11002,"Antwerpen","Antwerpen","Flanders",23,410
"76",11002,"Antwerpen","Antwerpen","Flanders",24,226
"77",11002,"Antwerpen","Antwerpen","Flanders",25,175
"78",11002,"Antwerpen","Antwerpen","Flanders",26,252
"79",11002,"Antwerpen","Antwerpen","Flanders",27,270
"80",11002,"Antwerpen","Antwerpen","Flanders",28,370
"81",11002,"Antwerpen","Antwerpen","Flanders",29,483
"82",11002,"Antwerpen","Antwerpen","Flanders",30,536
"83",11002,"Antwerpen","Antwerpen","Flanders",31,648
"84",11002,"Antwerpen","Antwerpen","Flanders",32,759
"85",11002,"Antwerpen","Antwerpen","Flanders",33,887
"86",11002,"Antwerpen","Antwerpen","Flanders",34,899
"87",11002,"Antwerpen","Antwerpen","Flanders",35,896
"88",11002,"Antwerpen","Antwerpen","Flanders",36,702
"89",11002,"Antwerpen","Antwerpen","Flanders",37,700
"90",11002,"Antwerpen","Antwerpen","Flanders",38,622
"91",11002,"Antwerpen","Antwerpen","Flanders",39,607
"92",11002,"Antwerpen","Antwerpen","Flanders",40,613
"93",11002,"Antwerpen","Antwerpen","Flanders",41,744
"94",11002,"Antwerpen","Antwerpen","Flanders",42,1224
"95",11002,"Antwerpen","Antwerpen","Flanders",43,2030
"96",11002,"Antwerpen","Antwerpen","Flanders",44,2151
"97",11002,"Antwerpen","Antwerpen","Flanders",45,2504
"98",11002,"Antwerpen","Antwerpen","Flanders",46,3285
"99",11002,"Antwerpen","Antwerpen","Flanders",47,3875
"100",11002,"Antwerpen","Antwerpen","Flanders",48,3625
"101",11002,"Antwerpen","Antwerpen","Flanders",49,2946
"102",11002,"Antwerpen","Antwerpen","Flanders",50,2045
"103",11002,"Antwerpen","Antwerpen","Flanders",51,1636
"104",11002,"Antwerpen","Antwerpen","Flanders",52,3115
"105",11004,"Boechout","Antwerpen","Flanders",1,14
"106",11004,"Boechout","Antwerpen","Flanders",2,9
"107",11004,"Boechout","Antwerpen","Flanders",3,8
"108",11004,"Boechout","Antwerpen","Flanders",4,11
"109",11004,"Boechout","Antwerpen","Flanders",5,12
"110",11004,"Boechout","Antwerpen","Flanders",6,9
"111",11004,"Boechout","Antwerpen","Flanders",7,11
"112",11004,"Boechout","Antwerpen","Flanders",8,12
"113",11004,"Boechout","Antwerpen","Flanders",9,22
"114",11004,"Boechout","Antwerpen","Flanders",10,6
"115",11004,"Boechout","Antwerpen","Flanders",11,24
"116",11004,"Boechout","Antwerpen","Flanders",12,26
"117",11004,"Boechout","Antwerpen","Flanders",13,21
"118",11004,"Boechout","Antwerpen","Flanders",14,26
"119",11004,"Boechout","Antwerpen","Flanders",15,32
"120",11004,"Boechout","Antwerpen","Flanders",16,22
"121",11004,"Boechout","Antwerpen","Flanders",17,21
"122",11004,"Boechout","Antwerpen","Flanders",18,50
"123",11004,"Boechout","Antwerpen","Flanders",19,16
"124",11004,"Boechout","Antwerpen","Flanders",20,17
