"mcp_code","city_name","week_num","pollution_ozone_wk","pollution_bc_wk","pollution_no2_wk","pollution_pm10_wk","pollution_pm25_wk"
11001,"Aartselaar",1,20.6428571428571,0.7,14.7428571428571,20.2,15.2714285714286
11001,"Aartselaar",2,25.8714285714286,1.14285714285714,23.4142857142857,20.3,14.2571428571429
11001,"Aartselaar",3,39.3,0.614285714285714,14.4857142857143,17.6714285714286,11.0142857142857
11001,"Aartselaar",4,36.8571428571429,0.614285714285714,18.5142857142857,16.3142857142857,10.0285714285714
11001,"Aartselaar",5,36.0285714285714,0.542857142857143,15.2571428571429,17.4,11.5571428571429
11001,"Aartselaar",6,41.5,0.842857142857143,16.8142857142857,22.1857142857143,15.8428571428571
11001,"Aartselaar",7,50.1571428571429,0.485714285714286,14.4428571428571,16.5571428571429,9.41428571428571
11001,"Aartselaar",8,45.9428571428571,0.671428571428571,14.7,40.0857142857143,14.9285714285714
11001,"Aartselaar",9,26.2285714285714,1.38571428571429,25.3142857142857,40.8142857142857,28.1714285714286
11001,"Aartselaar",10,48.6714285714286,0.657142857142857,16.3142857142857,26.6142857142857,16.6
11001,"Aartselaar",11,59.9285714285714,0.3,11.9857142857143,14.1571428571429,6.91428571428571
11001,"Aartselaar",12,56.3142857142857,0.585714285714286,16.6571428571429,27.8285714285714,16.9285714285714
11001,"Aartselaar",13,59.0142857142857,0.857142857142857,21.4285714285714,30.1142857142857,15.2142857142857
11001,"Aartselaar",14,68.3,0.257142857142857,9.22857142857143,20.4571428571429,10.2285714285714
11001,"Aartselaar",15,57.1714285714286,0.457142857142857,16.3,17.2428571428571,9.31428571428571
11001,"Aartselaar",16,58.0857142857143,0.642857142857143,16.5714285714286,30.3857142857143,18.0714285714286
11001,"Aartselaar",17,74.0285714285714,0.442857142857143,9.94285714285714,26.1571428571429,13.2857142857143
11001,"Aartselaar",18,66.8571428571429,0.342857142857143,11.8857142857143,18.7285714285714,10.1285714285714
11001,"Aartselaar",19,56.2857142857143,0.428571428571429,11.9428571428571,15.3714285714286,7.65714285714286
11001,"Aartselaar",20,57.2571428571429,0.328571428571429,9.57142857142857,15.1857142857143,8.32857142857143
11001,"Aartselaar",21,66.6142857142857,0.2,5.9,12.3,5.42857142857143
11001,"Aartselaar",22,75.3,0.471428571428571,10.5,21.0285714285714,10.5571428571429
11001,"Aartselaar",23,66.3285714285714,0.7,15.9285714285714,26.3142857142857,15.4571428571429
11001,"Aartselaar",24,69.6285714285714,0.5,10.6,23.8857142857143,10.6857142857143
11001,"Aartselaar",25,59.9142857142857,0.342857142857143,6.47142857142857,19.1142857142857,10.8571428571429
11001,"Aartselaar",26,46.7571428571429,0.657142857142857,11.2428571428571,22.8285714285714,13.9428571428571
11001,"Aartselaar",27,46.2285714285714,0.471428571428571,8.77142857142857,17.6857142857143,8.67142857142857
11001,"Aartselaar",28,48.1142857142857,0.528571428571429,9.24285714285714,20.4,12.5571428571429
11001,"Aartselaar",29,55.6142857142857,0.428571428571429,6.84285714285714,20.2714285714286,10.9142857142857
11001,"Aartselaar",30,53.8285714285714,0.314285714285714,5.18571428571429,18.0714285714286,8.77142857142857
11001,"Aartselaar",31,53.4285714285714,0.4,8.18571428571429,16.4428571428571,8.71428571428571
11001,"Aartselaar",32,42.2285714285714,0.371428571428571,7.71428571428571,13.8857142857143,5.67142857142857
11001,"Aartselaar",33,44.3571428571429,0.4,8.98571428571429,18.5,9.41428571428571
11001,"Aartselaar",34,48.8714285714286,0.414285714285714,7.67142857142857,15.4285714285714,7.3
11001,"Aartselaar",35,55.5428571428571,0.342857142857143,7.31428571428571,18.5,9.12857142857143
11001,"Aartselaar",36,59.1,0.885714285714286,14.5142857142857,31.4714285714286,18.2285714285714
11001,"Aartselaar",37,43.8571428571429,0.557142857142857,12.4571428571429,17.8428571428571,8.94285714285714
11001,"Aartselaar",38,41.5428571428571,0.857142857142857,16.6714285714286,24.3428571428571,13.3285714285714
11001,"Aartselaar",39,43.3285714285714,0.485714285714286,10.7285714285714,15.8,7.12857142857143
11001,"Aartselaar",40,44.8714285714286,0.385714285714286,9.95714285714286,11.8428571428571,4.85714285714286
11001,"Aartselaar",41,27.6142857142857,0.985714285714286,18.9571428571429,24.8857142857143,14.6428571428571
11001,"Aartselaar",42,40.1285714285714,0.757142857142857,15.4,18.0857142857143,9.04285714285714
11001,"Aartselaar",43,32.4428571428571,0.685714285714286,14.6142857142857,17.7142857142857,9.64285714285714
11001,"Aartselaar",44,37.3857142857143,0.642857142857143,14.6285714285714,14.5571428571429,7.51428571428571
11001,"Aartselaar",45,24.3714285714286,1.27142857142857,23.3857142857143,25.7571428571429,14.7142857142857
11001,"Aartselaar",46,18.7857142857143,0.914285714285714,17.8,26.7,18.4285714285714
11001,"Aartselaar",47,21.2571428571429,1.3,22.6714285714286,25.2857142857143,16.4428571428571
11001,"Aartselaar",48,39.0428571428571,0.457142857142857,16.3,12.2428571428571,6.91428571428571
11001,"Aartselaar",49,37.3428571428571,0.5,15.1285714285714,13.8857142857143,7.95714285714286
11001,"Aartselaar",50,22.5571428571429,1.05714285714286,20.3857142857143,21.7714285714286,13.9571428571429
11001,"Aartselaar",51,24.0142857142857,1.3,23.0142857142857,24.9428571428571,16.6428571428571
11001,"Aartselaar",52,34.4,0.525,9.9375,15.2125,9.725
11002,"Antwerpen",1,11.8285714285714,1,23.5428571428571,20.6142857142857,15.1714285714286
11002,"Antwerpen",2,17.3285714285714,1.57142857142857,35.1142857142857,20.2,13.3714285714286
